Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Isoproterenol,Non-selective β Agonists,Avoid this drug in patients with dangerous tachyarrhythmias.,"It can cause tachycardia, palpitations, tremor, and flushing.",It is used rarely for bradycardia or heart block and as a pharmacologic stress agent.,It raises heart rate and relaxes airways and blood vessels.,It has no meaningful alpha receptor activity.,It stimulates beta-1 and beta-2 adrenergic receptors.
Albuterol,Selective β2 Agonists,Use caution in patients with severe tachyarrhythmias or uncontrolled hyperthyroidism.,"It can cause tremor, nervousness, palpitations, and low potassium.",It is used as rescue therapy for asthma and COPD bronchospasm.,It quickly relaxes airway smooth muscle.,It is a short-acting inhaled bronchodilator used for quick relief.,It stimulates beta-2 adrenergic receptors in bronchial smooth muscle.
Salmeterol,Selective β2 Agonists,Do not use this drug as the only treatment for asthma without an inhaled steroid.,"It can cause tremor, palpitations, headache, and low potassium.",It is used for long-term control of asthma and COPD symptoms.,It keeps the airways open for many hours.,"It has a slow onset, so it is not used for sudden asthma attacks.",It stimulates beta-2 adrenergic receptors for a long duration.
Formoterol,Selective β2 Agonists,Do not use this drug alone for chronic asthma control without anti-inflammatory therapy.,"It can cause tremor, palpitations, headache, and low potassium.",It is used for maintenance treatment of asthma and COPD.,It relaxes airway smooth muscle for about twelve hours.,It has a faster onset than salmeterol among long-acting beta agonists.,It stimulates beta-2 adrenergic receptors in the lungs.
Terbutaline,Selective β2 Agonists,Use caution in patients with significant heart disease or uncontrolled hyperthyroidism.,"It can cause tremor, tachycardia, palpitations, and low potassium.","It is used for asthma, COPD symptoms, and sometimes to relax the uterus in preterm labor.",It opens the airways and can reduce uterine contractions.,It is one of the beta-2 agonists remembered for tocolysis.,It stimulates beta-2 adrenergic receptors on smooth muscle.
Phenylephrine,α1-Selective Agonists,Use caution in patients with severe hypertension or bradycardia.,"It can cause headache, high blood pressure, reflex bradycardia, and ischemia.","It is used for nasal congestion, low blood pressure, and pupil dilation.",It tightens blood vessels and raises blood pressure.,It has almost pure alpha-1 activity and is useful when tachycardia should be avoided.,It stimulates alpha-1 adrenergic receptors on vascular smooth muscle.
Midodrine,α1-Selective Agonists,Avoid this drug in patients with severe organic heart disease or urinary retention.,"It can cause supine hypertension, tingling, chills, and urinary urgency.",It is used for symptomatic orthostatic hypotension.,It raises standing blood pressure and reduces dizziness on standing.,It is an oral prodrug that can cause high blood pressure while lying down.,It stimulates alpha-1 adrenergic receptors through its active metabolite.
Amphetamine,Indirect Sympathomimetics,"Avoid this drug in advanced arteriosclerosis, symptomatic heart disease, or severe hypertension.","It can cause insomnia, appetite loss, anxiety, high blood pressure, and tachycardia.",It is used for ADHD and narcolepsy.,"It increases alertness, attention, and wakefulness.",It is a classic indirect sympathomimetic with high abuse potential.,It increases release of norepinephrine and dopamine and reduces their reuptake.
Ephedrine,Indirect Sympathomimetics,"Avoid this drug in severe hypertension, arrhythmias, or narrow-angle glaucoma.","It can cause tremor, insomnia, palpitations, and urinary retention.",It is used for nasal congestion and sometimes low blood pressure.,It raises blood pressure and decreases nasal swelling.,It has both direct receptor activity and indirect catecholamine release.,It stimulates alpha and beta receptors and promotes norepinephrine release.
Cocaine,Reuptake Inhibitors,Avoid this drug in patients with significant coronary artery disease or uncontrolled hypertension.,"It can cause chest pain, seizures, anxiety, high blood pressure, and arrhythmias.",It is used medically as a local anesthetic in some nasal procedures.,It numbs tissue and tightens local blood vessels.,It is the local anesthetic known for causing intense vasoconstriction.,"It blocks norepinephrine, dopamine, and serotonin reuptake and blocks voltage-gated sodium channels."
Propranolol,Beta Blockers,"Avoid this drug in asthma, severe bradycardia, or heart block.","It can cause bronchospasm, fatigue, depression, sexual dysfunction, and low heart rate.","It is used for hypertension, angina, essential tremor, migraine prevention, and hyperthyroid symptoms.",It slows the heart and reduces tremor and sympathetic symptoms.,It is nonselective and is useful for performance anxiety and essential tremor.,It blocks beta-1 and beta-2 adrenergic receptors.
Metoprolol,Beta Blockers,"Use caution in patients with severe bradycardia, heart block, or decompensated heart failure.","It can cause fatigue, dizziness, depression, and low heart rate.","It is used for hypertension, angina, heart failure, and rate control.",It slows the heart and lowers blood pressure.,It is beta-1 selective at usual doses and is commonly used after myocardial infarction.,It selectively blocks beta-1 adrenergic receptors in the heart.
Atenolol,Beta Blockers,Avoid this drug in severe bradycardia or advanced heart block.,"It can cause fatigue, cold extremities, dizziness, and low heart rate.",It is used for hypertension and angina.,It lowers heart rate and blood pressure.,It is relatively water soluble and has less central nervous system penetration.,It selectively blocks beta-1 adrenergic receptors.
Carvedilol,Beta Blockers,"Avoid this drug in severe asthma, severe bradycardia, or decompensated heart failure.","It can cause dizziness, fatigue, low blood pressure, and bronchospasm.",It is used for heart failure and hypertension.,It lowers blood pressure and decreases harmful sympathetic stress on the heart.,It blocks both beta receptors and alpha-1 receptors.,"It blocks beta-1, beta-2, and alpha-1 adrenergic receptors."
Esmolol,Beta Blockers,"Avoid this drug in severe bradycardia, heart block, or cardiogenic shock.","It can cause low blood pressure, fatigue, and slow heart rate.",It is used intravenously for acute rate control and perioperative tachycardia.,It rapidly slows the heart for a short time.,It has an ultra-short half-life because esterases break it down quickly.,It selectively blocks beta-1 adrenergic receptors.
Timolol,Beta Blockers,"Avoid this drug in asthma, COPD with bronchospasm, or heart block.","It can cause bronchospasm, slow heart rate, and eye irritation.",It is used as eye drops for glaucoma.,It lowers intraocular pressure.,It is a beta blocker commonly remembered for topical glaucoma treatment.,"It blocks beta receptors in the ciliary body, decreasing aqueous humor production."
Nadolol,Beta Blockers,"Avoid this drug in asthma, severe bradycardia, or heart block.","It can cause fatigue, bronchospasm, dizziness, and low heart rate.",It is used for hypertension and angina.,It lowers heart rate and blood pressure for a long duration.,It has a long half-life and is eliminated mainly by the kidneys.,It blocks beta-1 and beta-2 adrenergic receptors.
Nebivolol,Beta Blockers,Avoid this drug in severe bradycardia or heart block.,"It can cause headache, fatigue, dizziness, and low blood pressure.",It is used for hypertension and heart failure.,It lowers blood pressure and can improve blood vessel relaxation.,It increases nitric oxide release in addition to beta blockade.,It selectively blocks beta-1 receptors and promotes nitric oxide-mediated vasodilation.
Labetalol,Beta Blockers,"Avoid this drug in asthma, heart block, or severe bradycardia.","It can cause dizziness, fatigue, orthostatic hypotension, and scalp tingling.","It is used for hypertension, including hypertensive emergencies and pregnancy-related hypertension.",It lowers blood pressure without greatly reducing uterine blood flow.,It is a common beta blocker choice in pregnancy.,It blocks beta receptors and alpha-1 receptors.
Prazosin,Alpha Blockers,Use caution in patients prone to fainting from low blood pressure.,"It can cause first-dose syncope, dizziness, headache, and nasal congestion.",It is used for hypertension and urinary symptoms from benign prostatic hyperplasia.,It relaxes blood vessels and smooth muscle in the prostate and bladder neck.,It is the classic alpha blocker associated with first-dose syncope.,It selectively blocks alpha-1 adrenergic receptors.
Doxazosin,Alpha Blockers,Use caution in patients taking PDE5 inhibitors because severe low blood pressure can occur.,"It can cause dizziness, fatigue, swelling, and orthostatic hypotension.",It is used for hypertension and urinary symptoms from benign prostatic hyperplasia.,It lowers vascular tone and improves urine flow.,It has a longer duration than prazosin and is often taken once daily.,It blocks alpha-1 adrenergic receptors.
Terazosin,Alpha Blockers,Use caution in patients with orthostatic hypotension or syncope risk.,"It can cause dizziness, weakness, headache, and nasal congestion.",It is used for benign prostatic hyperplasia and sometimes hypertension.,It relaxes the prostate and lowers blood pressure.,It is another alpha-1 blocker used when urinary symptoms and blood pressure both matter.,It blocks alpha-1 adrenergic receptors.
Tamsulosin,Alpha Blockers,Use caution in patients with severe low blood pressure or sulfa allergy history.,"It can cause dizziness, abnormal ejaculation, runny nose, and orthostatic hypotension.",It is used for urinary symptoms from benign prostatic hyperplasia.,It improves urine flow with less blood pressure effect than older alpha blockers.,It is relatively selective for alpha-1A receptors in the prostate.,It blocks alpha-1A adrenergic receptors in the prostate and bladder neck.
Phenoxybenzamine,Alpha Blockers,Use caution because it can cause severe low blood pressure after the tumor is removed.,"It can cause orthostatic hypotension, reflex tachycardia, nasal congestion, and miosis.",It is used before surgery for pheochromocytoma.,It lowers blood pressure by relaxing blood vessels before catecholamine-secreting tumor removal.,It causes long-lasting irreversible alpha blockade.,It irreversibly blocks alpha-1 and alpha-2 adrenergic receptors.
Phentolamine,Alpha Blockers,Use caution in patients with coronary artery disease because reflex tachycardia can occur.,"It can cause tachycardia, arrhythmias, flushing, and nasal congestion.",It is used for hypertensive crises from catecholamine excess and for pheochromocytoma testing or treatment.,It rapidly relaxes blood vessels and lowers blood pressure.,It is a reversible alpha blocker with a shorter action than phenoxybenzamine.,It reversibly blocks alpha-1 and alpha-2 adrenergic receptors.
Clonidine,Central α2 Agonists,Avoid sudden stopping because rebound hypertension can be dangerous.,"It can cause dry mouth, sedation, constipation, and rebound hypertension.","It is used for hypertension, ADHD, opioid withdrawal symptoms, and some pain conditions.",It lowers sympathetic outflow and decreases blood pressure.,It can help withdrawal symptoms by calming autonomic overactivity.,"It stimulates central alpha-2 adrenergic receptors, reducing norepinephrine release."
Methyldopa,Central α2 Agonists,Use caution in active liver disease and monitor for hemolysis-like symptoms.,"It can cause sedation, dry mouth, depression, and Coombs-positive hemolytic anemia.",It is used for hypertension during pregnancy.,It lowers blood pressure by decreasing sympathetic tone.,It is one of the classic safe antihypertensive choices in pregnancy.,"It is converted to alpha-methylnorepinephrine, which stimulates central alpha-2 receptors."
Tizanidine,Central α2 Agonists,Avoid this drug with strong CYP1A2 inhibitors because toxicity can increase.,"It can cause sedation, dry mouth, low blood pressure, and weakness.",It is used for painful muscle spasticity.,It decreases muscle tone and spasms.,It is a centrally acting muscle relaxant that can also lower blood pressure.,It stimulates central alpha-2 adrenergic receptors to reduce motor neuron activity.
Lisinopril,ACE Inhibitors,"Avoid this drug in pregnancy, history of angioedema, or bilateral renal artery stenosis.","It can cause dry cough, high potassium, low blood pressure, kidney injury, and angioedema.","It is used for hypertension, heart failure, diabetic kidney protection, and post-heart attack remodeling.",It lowers blood pressure and reduces strain on the heart and kidneys.,It is a commonly prescribed once-daily ACE inhibitor.,"It inhibits angiotensin-converting enzyme, lowering angiotensin II and increasing bradykinin."
Captopril,ACE Inhibitors,"Avoid this drug in pregnancy, angioedema history, or bilateral renal artery stenosis.","It can cause cough, rash, taste changes, high potassium, and angioedema.","It is used for hypertension, heart failure, and kidney protection in diabetes.",It lowers blood pressure and decreases protein loss in urine.,It is notable for rash and altered taste because of its sulfhydryl group.,"It inhibits angiotensin-converting enzyme, decreasing angiotensin II formation."
Enalapril,ACE Inhibitors,Avoid this drug in pregnancy or bilateral renal artery stenosis.,"It can cause cough, dizziness, high potassium, kidney injury, and angioedema.","It is used for hypertension, heart failure, and diabetic kidney disease.",It reduces blood pressure and helps limit harmful heart remodeling.,It is a prodrug that is converted to an active form in the body.,It inhibits angiotensin-converting enzyme after conversion to its active metabolite.
Ramipril,ACE Inhibitors,"Avoid this drug in pregnancy, angioedema history, or bilateral renal artery stenosis.","It can cause cough, high potassium, dizziness, kidney injury, and angioedema.","It is used for hypertension, heart failure risk reduction, and vascular protection.",It lowers blood pressure and reduces cardiovascular risk in high-risk patients.,It is often remembered from trials showing vascular protection beyond simple blood pressure lowering.,"It inhibits angiotensin-converting enzyme, reducing angiotensin II and aldosterone."
Losartan,Angiotensin Receptor Blockers,Avoid this drug in pregnancy or bilateral renal artery stenosis.,"It can cause high potassium, dizziness, kidney injury, and rarely angioedema.","It is used for hypertension, diabetic kidney disease, and heart failure when ACE inhibitors are not tolerated.",It lowers blood pressure without usually causing cough.,It is the prototype angiotensin receptor blocker.,"It blocks angiotensin II type 1 receptors, reducing vasoconstriction and aldosterone release."
Valsartan,Angiotensin Receptor Blockers,Avoid this drug in pregnancy and bilateral renal artery stenosis.,"It can cause dizziness, high potassium, low blood pressure, and kidney injury.",It is used for hypertension and heart failure.,It relaxes blood vessels and reduces fluid-retaining hormone effects.,It is commonly used in heart failure when blocking angiotensin signaling is desired.,It blocks angiotensin II type 1 receptors.
Irbesartan,Angiotensin Receptor Blockers,Avoid this drug in pregnancy or severe kidney artery narrowing.,"It can cause high potassium, dizziness, fatigue, and kidney injury.",It is used for hypertension and diabetic kidney protection.,It lowers blood pressure and reduces pressure in the glomerulus.,It is often associated with diabetic nephropathy treatment.,"It blocks angiotensin II type 1 receptors, reducing aldosterone and vasoconstriction."
Hydralazine,Direct Vasodilators,Use caution in coronary artery disease or lupus history.,"It can cause headache, flushing, reflex tachycardia, fluid retention, and drug-induced lupus.",It is used for severe hypertension and heart failure when combined with nitrates.,It relaxes arteries and lowers afterload.,"It is associated with a lupus-like syndrome, especially in slow acetylators.","It directly relaxes arteriolar smooth muscle, likely by increasing nitric oxide signaling."
Minoxidil,Direct Vasodilators,"Use caution in patients with pericardial effusion, tachycardia, or fluid retention.","It can cause edema, reflex tachycardia, hypertrichosis, and pericardial effusion.",It is used for severe resistant hypertension and topically for hair loss.,It opens blood vessels and can stimulate hair growth.,It is famous for causing unwanted or desired hair growth.,It opens ATP-sensitive potassium channels in vascular smooth muscle.
Sodium Nitroprusside,Hypertensive Emergency Agents,Avoid prolonged use without monitoring because cyanide toxicity can occur.,"It can cause severe low blood pressure, cyanide toxicity, thiocyanate toxicity, and lactic acidosis.",It is used for hypertensive emergencies when rapid blood pressure control is needed.,It quickly relaxes both arteries and veins.,It requires close monitoring and is usually given by continuous IV infusion.,"It releases nitric oxide, increasing cGMP and causing arterial and venous vasodilation."
Fenoldopam,Hypertensive Emergency Agents,Avoid this drug in glaucoma or sulfite hypersensitivity.,"It can cause headache, flushing, reflex tachycardia, and increased eye pressure.","It is used for hypertensive emergencies, especially when kidney blood flow is a concern.",It lowers blood pressure while increasing renal blood flow and sodium excretion.,It is a dopamine-1 agonist used intravenously.,It stimulates dopamine-1 receptors in renal and peripheral vessels.
Amlodipine,Calcium Channel Blockers,Use caution in severe aortic stenosis or marked low blood pressure.,"It can cause ankle swelling, flushing, headache, and reflex tachycardia.",It is used for hypertension and chronic stable angina.,It relaxes blood vessels and lowers blood pressure.,It is a long-acting dihydropyridine with little direct effect on heart conduction.,It blocks L-type calcium channels in vascular smooth muscle.
Nifedipine,Calcium Channel Blockers,Use caution in severe aortic stenosis or unstable angina when immediate-release forms are used.,"It can cause headache, flushing, edema, and reflex tachycardia.",It is used for hypertension and vasospastic angina.,It relaxes arteries and lowers afterload.,It has more vasodilating effect than heart-slowing effect.,It blocks L-type calcium channels in vascular smooth muscle.
Verapamil,Calcium Channel Blockers,"Avoid this drug in heart failure with reduced ejection fraction, heart block, or severe bradycardia.","It can cause constipation, low heart rate, heart block, and worsening heart failure.","It is used for angina, hypertension, and rate control in supraventricular arrhythmias.",It slows heart conduction and lowers blood pressure.,It is the calcium channel blocker most associated with constipation.,It blocks L-type calcium channels in the heart and vascular smooth muscle.
Diltiazem,Calcium Channel Blockers,"Avoid this drug in severe bradycardia, heart block, or heart failure with reduced ejection fraction.","It can cause low heart rate, dizziness, edema, and heart block.","It is used for hypertension, angina, and rate control in atrial fibrillation or flutter.",It slows AV nodal conduction and relaxes blood vessels.,It has effects between verapamil and dihydropyridines on heart versus vessels.,It blocks L-type calcium channels in cardiac and vascular smooth muscle.
Nitroglycerin,Nitrates,Avoid this drug with PDE5 inhibitors or severe low blood pressure.,"It can cause headache, flushing, dizziness, reflex tachycardia, and methemoglobinemia.",It is used for acute angina relief and acute coronary syndromes.,It dilates veins more than arteries and reduces chest pain by lowering preload.,It works quickly under the tongue but develops tolerance with continuous use.,"It is converted to nitric oxide, increasing cGMP and causing vascular smooth muscle relaxation."
Isosorbide Mononitrate,Nitrates,Avoid this drug with PDE5 inhibitors or severe hypotension.,"It can cause headache, flushing, dizziness, and nitrate tolerance.",It is used to prevent chronic angina attacks.,It reduces preload and decreases cardiac oxygen demand.,It is the once-daily oral nitrate used mainly for prophylaxis.,"It releases nitric oxide, increasing cGMP in vascular smooth muscle."
Isosorbide Dinitrate,Nitrates,Avoid this drug with PDE5 inhibitors or marked low blood pressure.,"It can cause headache, flushing, dizziness, and reflex tachycardia.",It is used for chronic angina prevention and sometimes heart failure with hydralazine.,It dilates veins and lowers the workload of the heart.,It is metabolized into the mononitrate form and is often dosed more than once daily.,"It releases nitric oxide, increasing cGMP and causing vasodilation."
Furosemide,Loop Diuretics,Avoid this drug in severe sulfonamide allergy or profound dehydration.,"It can cause low potassium, dehydration, ototoxicity, gout, and sulfa reactions.","It is used for edema from heart failure, cirrhosis, kidney disease, and acute pulmonary edema.",It causes powerful salt and water loss and reduces fluid overload.,It is the classic high-ceiling diuretic used in acute pulmonary edema.,It inhibits the Na-K-2Cl cotransporter in the thick ascending limb of the loop of Henle.
