Name,Class,Subclass,System(s),"Hint 1: Physical Exam finding in patients (ex: beefy-red, painless ulcerative lesions that bleed very easily when touched).
","Hint 2: congenital impact(s) (if applicable) OR more possible physical exam findings. If it is a bug with multiple different presentations, make sure to specify (ex: C. preferinges can cause diarrhea OR skin necrosis in different contexts).  
","Hint 3: Lab findings (fever, elevated eosinophilia, etc.)
","Hint 4: Treatment “This bug is treated with ___ and ____”
","Hint 5: Disease(s) it can cause
","Hint 6: Morphology (RNA+ virus, dsDNA virus, gram positive, intracellular bacteria, cestode (tapeworm), fungi, etc.)"
Listeria monocytogenes,bacteria,gram positive facultative intracellular rod,Nervous System; Gastrointestinal; Reproductive; Blood & Lymphoreticular/Immune Systems,"Fever and meningitis in neonates, older adults, or pregnant patients",Transplacental infection can cause fetal or neonatal disease,Tumbling motility; grows in cold temperatures,Treated with ampicillin plus gentamicin,"Neonatal sepsis, meningitis, pregnancy-associated infection",Gram-positive facultative intracellular rod
Mycobacterium tuberculosis,bacteria,acid-fast rod,"Respiratory; Nervous System; Gastrointestinal; Renal/Urinary; Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems","Chronic cough, night sweats, weight loss, hemoptysis","Can spread to meninges, spine, kidneys, or GI tract",Acid-fast bacilli; caseating granulomas,Treated with RIPE therapy,Pulmonary and extrapulmonary granulomatous infection,Acid-fast rod
Corynebacterium diphtheriae,bacteria,gram positive club-shaped rod,Respiratory; Cardiovascular; Nervous System,Gray pharyngeal pseudomembrane that can bleed if removed,Myocarditis and neuropathy can occur,Club-shaped rods with metachromatic granules,Treated with antitoxin plus erythromycin or penicillin,Toxin-mediated pseudomembranous pharyngitis with cardiac/nerve complications,Gram-positive club-shaped rod
Actinomyces israelii,bacteria,gram positive branching anaerobic rod,"Musculoskeletal, Skin & Subcutaneous Tissue; Reproductive",Chronic jaw/facial mass with draining sinus tracts,Yellow sulfur granules may be present in drainage,Branching filamentous anaerobe,Treated with prolonged penicillin,"Chronic cervicofacial, thoracic, abdominal, or pelvic abscess-forming infection",Gram-positive branching anaerobic rod
Yersinia pestis,bacteria,gram negative rod with bipolar staining,"Blood & Lymphoreticular/Immune Systems; Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue",Painful swollen lymph nodes after flea/rodent exposure,Pneumonic form can cause severe contagious pneumonia,Bipolar “safety-pin” staining,Treated with streptomycin or gentamicin,"Bubonic, septicemic, or pneumonic plague",Gram-negative rod with bipolar staining
Bartonella henselae,bacteria,gram negative intracellular rod,"Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue; Cardiovascular",Papule after cat scratch followed by regional lymphadenopathy,Vascular skin lesions may occur in advanced immunosuppression,Warthin-Starry silver stain may show organisms,Treated with azithromycin,"Cat-associated lymphadenitis, vascular proliferative disease, culture-negative endocarditis",Gram-negative intracellular rod
Brucella,bacteria,gram negative intracellular coccobacillus,"Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems; Gastrointestinal",Undulating fever with livestock or unpasteurized dairy exposure,"Hepatosplenomegaly, arthralgia, and sweats are common",Intracellular coccobacillus; blood cultures/serology may help,Treated with doxycycline plus rifampin,Undulant fever zoonosis with systemic symptoms,Gram-negative intracellular coccobacillus
Francisella tularensis,bacteria,gram negative intracellular coccobacillus,"Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue; Respiratory",Ulcer at inoculation site with painful regional lymph nodes,Pneumonia can follow aerosol exposure,Requires cysteine for growth,Treated with streptomycin or gentamicin,"Ulceroglandular zoonosis, pneumonic zoonosis",Gram-negative intracellular coccobacillus
Coxiella burnetii,bacteria,obligate intracellular gram negative-like bacteria,Respiratory; Cardiovascular; Gastrointestinal,Fever and atypical pneumonia after farm-animal exposure,Culture-negative endocarditis can occur,Obligate intracellular organism; serology often used,Treated with doxycycline,Q fever; culture-negative endocarditis,Obligate intracellular gram-negative-like bacteria
Rickettsia rickettsii,bacteria,obligate intracellular gram negative-like bacteria,"Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems; Nervous System",Fever with rash beginning on wrists/ankles and spreading centrally,Rash may involve palms and soles,Thrombocytopenia and hyponatremia may occur,Treated with doxycycline,Tick-borne vasculitic febrile rash illness,Obligate intracellular gram-negative-like bacteria
Anaplasma,bacteria,obligate intracellular gram negative-like bacteria,Blood & Lymphoreticular/Immune Systems,"Fever, headache, myalgias after tick exposure",Rash is uncommon compared with other tick-borne rickettsial illnesses,"Leukopenia, thrombocytopenia, morulae in granulocytes",Treated with doxycycline,Human granulocytic tick-borne febrile illness,Obligate intracellular gram-negative-like bacteria
Ehrlichia,bacteria,obligate intracellular gram negative-like bacteria,Blood & Lymphoreticular/Immune Systems,"Fever, myalgias, and headache after tick exposure","GI symptoms, hepatomegaly, or occasional maculopapular/petechial rash may occur","Leukopenia, thrombocytopenia, anemia, ↑ AST/ALT, hyponatremia; morulae in monocytes",Treated with doxycycline,Human monocytic tick-borne febrile illness,Obligate intracellular gram-negative-like bacteria
Influenza,virus,negative-sense segmented RNA virus,"Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue","Abrupt fever, chills, myalgias, headache, and cough",Antigenic drift and shift help explain recurrent seasonal and pandemic patterns,PCR or rapid antigen testing may be positive; complications include secondary bacterial pneumonia,Treated with oseltamivir or other neuraminidase inhibitor when indicated,"Acute febrile respiratory illness, viral pneumonia",Negative-sense segmented RNA virus
RSV,virus,negative-sense RNA virus,Respiratory,"Infant with cough, wheezing, tachypnea, and bronchiolitis","Severe disease is more likely in infants, older adults, and high-risk patients",PCR may be positive; multinucleated respiratory epithelial cells can form,Treated supportively; prevention/prophylaxis options include vaccine or monoclonal antibody in selected groups,"Bronchiolitis, pneumonia, upper respiratory infection",Negative-sense RNA virus
Parainfluenza,virus,negative-sense RNA virus,Respiratory,Barking cough with inspiratory stridor in a young child,Symptoms often worsen at night and involve upper-airway inflammation,Diagnosis is usually clinical; viral testing may identify the cause,Treated supportively; dexamethasone and nebulized epinephrine for moderate/severe airway disease,"Croup, upper and lower respiratory infection",Negative-sense RNA virus
Measles,virus,negative-sense RNA virus,"Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue; Nervous System; Blood & Lymphoreticular/Immune Systems","Cough, coryza, conjunctivitis, and fever followed by a descending rash",Small bluish-white oral lesions may appear before the rash,Leukopenia may occur; diagnosis confirmed by serology or PCR,Treated supportively with vitamin A in selected patients; prevented with live attenuated vaccine,"Febrile exanthem illness, pneumonia, encephalitis, subacute sclerosing panencephalitis",Negative-sense RNA virus
Mumps,virus,negative-sense RNA virus,Reproductive; Nervous System; Gastrointestinal,Painful parotid swelling with fever and malaise,"Orchitis, pancreatitis, or aseptic meningitis can occur",Serum amylase may be elevated; PCR/serology may confirm,Treated supportively; prevented with live attenuated vaccine,"Parotitis, orchitis, aseptic meningitis, pancreatitis",Negative-sense RNA virus
Rubella,virus,positive-sense RNA virus,"Reproductive; Musculoskeletal, Skin & Subcutaneous Tissue; Cardiovascular; Nervous System",Mild fever with lymphadenopathy and maculopapular rash,"Congenital infection can cause cataracts, deafness, and cardiac defects",Serology or PCR may confirm infection,Treated supportively; prevented with live attenuated vaccine,"German measles-like illness, congenital rubella syndrome",Positive-sense RNA virus
Parvovirus B19,virus,single-stranded DNA virus,"Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue; Reproductive",“Slapped cheek” facial rash in a child,Arthralgias in adults; fetal hydrops risk in pregnancy,Transient aplastic crisis in hemolytic disease; IgM/serology may confirm,Treated supportively; transfusion may be needed for severe aplasia,"Erythema infectiosum, aplastic crisis, fetal hydrops",Single-stranded DNA virus
CMV,virus,double-stranded DNA herpesvirus,Blood & Lymphoreticular/Immune Systems; Reproductive; Gastrointestinal; Nervous System; Respiratory,Mononucleosis-like illness with negative heterophile testing,"Congenital infection can cause hearing loss, periventricular calcifications, and petechiae",Owl-eye intranuclear inclusions; PCR/antigen testing may help,Treated with ganciclovir or valganciclovir when indicated,"Retinitis, esophagitis, pneumonia, congenital infection, mononucleosis-like illness",Double-stranded DNA herpesvirus
EBV,virus,double-stranded DNA herpesvirus,Blood & Lymphoreticular/Immune Systems; Gastrointestinal,"Fever, pharyngitis, lymphadenopathy, and fatigue",Splenomegaly increases risk of rupture after contact sports,Heterophile antibody test may be positive; atypical lymphocytes,Treated supportively; avoid contact sports during splenic risk period,"Infectious mononucleosis, oral hairy leukoplakia, Burkitt lymphoma, nasopharyngeal carcinoma",Double-stranded DNA herpesvirus
HHV-8,virus,double-stranded DNA herpesvirus,"Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue",Violaceous vascular skin or mucosal lesions,Strong association with advanced immunosuppression,Spindle-cell vascular tumor on biopsy,Treated by improving immune status; antiretroviral therapy when HIV-associated,"Kaposi sarcoma, primary effusion lymphoma, multicentric Castleman disease",Double-stranded DNA herpesvirus
HSV-1,virus,double-stranded DNA herpesvirus,"Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue; Reproductive",Painful grouped vesicles around the mouth,Can cause temporal-lobe encephalitis or corneal dendritic ulcers,Tzanck smear may show multinucleated giant cells; PCR is useful for CNS disease,"Treated with acyclovir, valacyclovir, or famciclovir","Cold sores, gingivostomatitis, keratitis, encephalitis, whitlow",Double-stranded DNA herpesvirus
HSV-2,virus,double-stranded DNA herpesvirus,"Reproductive; Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue",Painful grouped genital vesicles or ulcers,Neonatal infection can occur during delivery,PCR from lesion or CSF may confirm,"Treated with acyclovir, valacyclovir, or famciclovir","Genital ulcer disease, neonatal infection, aseptic meningitis",Double-stranded DNA herpesvirus
VZV,virus,double-stranded DNA herpesvirus,"Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue; Respiratory",Diffuse pruritic vesicles in different stages of healing,Reactivation causes painful dermatomal vesicular eruption,Diagnosis is usually clinical; PCR from lesion can confirm,Treated with acyclovir/valacyclovir when indicated; prevented with vaccination,"Chickenpox, shingles, pneumonia, encephalitis, congenital varicella syndrome",Double-stranded DNA herpesvirus
Adenovirus,virus,double-stranded DNA virus,Respiratory; Gastrointestinal; Renal/Urinary,Pharyngitis with conjunctivitis and fever,Can cause hemorrhagic cystitis or diarrhea,PCR may confirm; nonenveloped virus is environmentally hardy,Treated supportively in most cases,"Pharyngoconjunctival fever, pneumonia, gastroenteritis, hemorrhagic cystitis",Double-stranded DNA virus
HPV,virus,double-stranded circular DNA virus,"Reproductive; Musculoskeletal, Skin & Subcutaneous Tissue",Verrucous skin or anogenital warts,High-risk types are linked to anogenital and oropharyngeal cancers,Koilocytes may be seen on cytology/biopsy,"Warts treated with cryotherapy, topical agents, or excision; prevention with vaccination","Warts, cervical dysplasia/cancer, anogenital cancer",Double-stranded circular DNA virus
Molluscum contagiosum,virus,double-stranded DNA poxvirus,"Musculoskeletal, Skin & Subcutaneous Tissue",Dome-shaped umbilicated pearly papules,More extensive lesions can occur with immunosuppression,Henderson-Patterson bodies may be seen,"Often self-limited; curettage, cryotherapy, or topical therapy if needed",Benign umbilicated papular skin infection,Double-stranded DNA poxvirus
Hepatitis A,virus,positive-sense RNA virus,Gastrointestinal,"Acute jaundice, malaise, anorexia, and right upper quadrant discomfort",Fecal-oral spread; no chronic carrier state,↑ AST/ALT; anti-HAV IgM indicates acute infection,Treated supportively; prevented with inactivated vaccine,Acute viral hepatitis,Positive-sense RNA virus
Hepatitis B,virus,partially double-stranded circular DNA virus,Gastrointestinal; Reproductive; Blood & Lymphoreticular/Immune Systems,"Jaundice and fatigue after sexual, parenteral, or perinatal exposure",Chronic infection increases risk of cirrhosis and hepatocellular carcinoma,HBsAg indicates infection; anti-HBc IgM suggests acute infection,Chronic disease treated with antivirals such as tenofovir/entecavir or interferon in selected cases,"Acute/chronic hepatitis, cirrhosis, hepatocellular carcinoma",Partially double-stranded circular DNA virus
Hepatitis C,virus,positive-sense RNA virus,Gastrointestinal; Blood & Lymphoreticular/Immune Systems; Renal/Urinary,"Often asymptomatic initially, later chronic liver disease",Parenteral exposure is a key risk; chronicity is common,Anti-HCV screening followed by RNA confirmation,Treated with direct-acting antivirals,"Chronic hepatitis, cirrhosis, hepatocellular carcinoma, mixed cryoglobulinemia",Positive-sense RNA virus
Hepatitis D,virus,negative-sense circular RNA virus,Gastrointestinal; Blood & Lymphoreticular/Immune Systems,Severe hepatitis in a patient who also has surface antigen for another hepatitis virus,Coinfection or superinfection can worsen liver disease,Anti-HDV or HDV RNA with concurrent HBsAg,Treated with supportive care and specialist-directed antiviral therapy; prevention by HBV vaccination,"Severe acute hepatitis, chronic hepatitis acceleration",Negative-sense circular RNA virus
Hepatitis E,virus,positive-sense RNA virus,Gastrointestinal; Reproductive,Acute hepatitis after fecal-oral exposure,Particularly severe in pregnancy,↑ AST/ALT; anti-HEV IgM or RNA may confirm,Treated supportively in most cases,"Acute viral hepatitis, fulminant hepatitis in pregnancy",Positive-sense RNA virus
HIV,virus,positive-sense RNA retrovirus,"Blood & Lymphoreticular/Immune Systems; Nervous System; Gastrointestinal; Reproductive; Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue","Acute fever, rash, sore throat, and lymphadenopathy after exposure",Progressive immunodeficiency predisposes to opportunistic infections and malignancy,Positive antigen/antibody testing; viral load and CD4 count guide care,Treated with combination antiretroviral therapy,"AIDS, opportunistic infections, wasting, neurocognitive disease",Positive-sense RNA retrovirus
Rabies,virus,negative-sense RNA virus,Nervous System; Behavioral Health,Paresthesia near bite site followed by agitation or neurologic symptoms,"Hydrophobia, aerophobia, and hypersalivation may occur",Negri bodies may be seen; PCR/serology can support diagnosis,"Postexposure prophylaxis with wound care, immune globulin, and vaccine before symptoms",Fatal encephalitis,Negative-sense RNA virus
Polio,virus,positive-sense RNA virus,"Nervous System; Gastrointestinal; Musculoskeletal, Skin & Subcutaneous Tissue",Fever and GI symptoms followed by asymmetric flaccid weakness,Anterior horn cell injury causes lower motor neuron findings,CSF may show lymphocytic pleocytosis; stool/throat PCR may confirm,Treated supportively; prevented with vaccination,"Poliomyelitis, aseptic meningitis, paralytic disease",Positive-sense RNA virus
Coxsackievirus A,virus,positive-sense RNA enterovirus,"Musculoskeletal, Skin & Subcutaneous Tissue; Gastrointestinal; Respiratory",Painful oral vesicles with hand/foot rash,Posterior oropharyngeal vesicles can occur without hand/foot lesions,Diagnosis usually clinical; PCR may identify enterovirus,Treated supportively,"Hand-foot-mouth disease, herpangina, aseptic meningitis",Positive-sense RNA enterovirus
Coxsackievirus B,virus,positive-sense RNA enterovirus,Cardiovascular; Gastrointestinal; Nervous System,Pleuritic chest pain with fever or myocarditis symptoms,Can cause dilated cardiomyopathy after myocardial injury,Troponin may be elevated in myocarditis; PCR/serology may help,Treated supportively; heart failure therapy if myocardial involvement,"Myocarditis, pericarditis, pleurodynia, aseptic meningitis",Positive-sense RNA enterovirus
Echovirus,virus,positive-sense RNA enterovirus,"Nervous System; Gastrointestinal; Musculoskeletal, Skin & Subcutaneous Tissue",Fever with aseptic meningitis in child or neonate,"Can also cause rash, conjunctivitis, diarrhea, or myocarditis",CSF lymphocytic pleocytosis; PCR may confirm,Treated supportively,"Aseptic meningitis, neonatal diarrhea, myocarditis, hepatitis",Positive-sense RNA enterovirus
Rotavirus,virus,double-stranded segmented RNA virus,Gastrointestinal,Severe watery diarrhea and vomiting in infants/young children,Dehydration can be prominent; fecal-oral spread,Stool antigen/PCR may confirm,Treated with oral or IV rehydration; prevented with live attenuated vaccine,Infantile gastroenteritis,Double-stranded segmented RNA virus
Norovirus,virus,positive-sense RNA virus,Gastrointestinal,Sudden vomiting and watery diarrhea in outbreaks,Spread by fecal-oral route and aerosolized vomitus; highly contagious,Diagnosis usually clinical; PCR can confirm outbreaks,Treated with rehydration and supportive care,Acute viral gastroenteritis,Positive-sense RNA virus
Ebola virus,virus,negative-sense RNA filovirus,Blood & Lymphoreticular/Immune Systems; Gastrointestinal; Cardiovascular,"High fever, severe malaise, vomiting/diarrhea, and bleeding manifestations",Exposure in endemic/outbreak setting; endothelial and hepatic involvement,"Thrombocytopenia, transaminitis, PCR confirmation",Treated with aggressive supportive care and pathogen-specific therapeutics when available,Viral hemorrhagic fever with shock,Negative-sense RNA filovirus
